"id";"player1";"player2";"player1moves";"player2moves";"player1time";"player2time";"roundId";"roomId";"player1Id";"player2Id";"state";"won_amount";"player_won";"betamount"
423;"white";"black";"null";"null";"null";"null";642;"811932";"pg8";"pg9";0;"";"";10
424;"white";"null";"null";"null";"null";"null";643;"881684";"pg8";"";0;"";"";10
425;"white";"black";"""""";"""""";"null";"null";644;"556183";"pg8";"pg9";1;"18";"pg9";10
426;"white";"black";"null";"null";"null";"null";645;"539160";"pg8";"pg9";0;"";"";10
427;"white";"black";"null";"null";"null";"null";646;"744256";"pg8";"pg9";0;"";"";10
428;"white";"black";"null";"null";"null";"null";647;"908293";"pg8";"pg9";0;"";"";10
429;"white";"black";"""H4;E4;""";"""D6;B5;""";"null";"null";648;"734732";"pg9";"pg8";1;"18";"pg8";10
430;"white";"black";"""H3;D4;F3;""";"""C6;A5;""";"null";"null";649;"573476";"pg9";"pg8";1;"18";"pg9";10
431;"white";"black";"""E4;D4;""";"""C5;A5;""";"null";"null";650;"768219";"pg9";"pg8";1;"18";"pg8";10
432;"white";"black";"null";"null";"null";"null";651;"542109";"pg9";"pg8";0;"";"";10
433;"white";"black";"""H4;""";"""C5;""";"null";"null";652;"238293";"pg9";"pg8";1;"18";"pg8";10
434;"white";"black";"null";"null";"null";"null";653;"981896";"pg9";"pg8";0;"";"";10
435;"white";"black";"""F4;""";"""C5;""";"null";"null";654;"174434";"pg9";"pg8";1;"18";"pg8";10
436;"white";"black";"null";"null";"null";"null";655;"464804";"pg9";"pg8";0;"";"";10
437;"white";"black";"null";"null";"null";"null";656;"962973";"pg9";"pg8";0;"";"";10
438;"white";"black";"""G4;""";"""D5;""";"null";"null";657;"967346";"pg9";"pg8";1;"18";"pg8";10
439;"white";"black";"""G4;""";"""D5;""";"null";"null";658;"387137";"pg9";"pg8";1;"18";"pg8";10
440;"white";"black";"null";"null";"null";"null";659;"375796";"pg9";"pg8";0;"";"";10
441;"white";"black";"null";"null";"null";"null";660;"166562";"pg9";"pg8";0;"";"";10
442;"white";"black";"null";"null";"null";"null";661;"662119";"pg9";"pg8";0;"";"";10
443;"white";"black";"""G4;""";"""""";"null";"null";662;"682429";"pg9";"pg8";1;"18";"pg9";10
